"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 26, 2020","328.20","324.85","330.80","324.20","43.92M","0.43%"
"Feb 25, 2020","326.80","325.90","328.15","322.20","39.05M","1.19%"
"Feb 24, 2020","322.95","325.75","331.30","321.85","45.27M","-1.43%"
"Feb 20, 2020","327.65","319.35","329.20","318.75","40.15M","2.28%"
"Feb 19, 2020","320.35","322.30","324.00","317.25","39.85M","0.88%"
"Feb 18, 2020","317.55","315.40","319.20","309.40","38.59M","1.07%"
"Feb 17, 2020","314.20","320.95","321.15","311.65","36.95M","-1.63%"
"Feb 14, 2020","319.40","328.10","331.90","318.55","48.21M","-2.46%"
"Feb 13, 2020","327.45","322.00","330.95","322.00","62.52M","2.26%"
"Feb 12, 2020","320.20","329.90","329.90","319.25","38.93M","-1.28%"
"Feb 11, 2020","324.35","321.05","325.80","321.05","30.19M","1.84%"
"Feb 10, 2020","318.50","319.80","322.80","316.50","24.82M","-0.64%"
"Feb 07, 2020","320.55","321.50","325.00","318.40","37.13M","-0.43%"
"Feb 06, 2020","321.95","311.20","323.50","310.10","57.76M","3.52%"
"Feb 05, 2020","311.00","306.90","313.65","304.60","35.01M","1.55%"
"Feb 04, 2020","306.25","302.90","307.55","297.10","51.14M","2.73%"
"Feb 03, 2020","298.10","303.00","306.85","295.35","56.06M","-1.49%"
"Feb 01, 2020","302.60","317.30","322.55","296.60","61.84M","-4.98%"
"Jan 31, 2020","318.45","313.70","321.70","308.60","92.66M","2.49%"
"Jan 30, 2020","310.70","316.75","316.75","305.65","35.80M","-1.82%"
"Jan 29, 2020","316.45","317.85","319.70","315.55","23.91M","0.43%"
"Jan 28, 2020","315.10","317.95","320.00","311.05","26.49M","-0.35%"
"Jan 27, 2020","316.20","320.90","322.00","315.80","23.31M","-2.42%"
"Jan 24, 2020","324.05","323.50","327.30","321.15","22.71M","0.26%"
"Jan 23, 2020","323.20","316.00","324.80","314.15","33.29M","2.23%"
"Jan 22, 2020","316.15","317.00","317.00","313.70","24.99M","0.78%"
"Jan 21, 2020","313.70","313.80","316.95","312.00","30.59M","-0.10%"
"Jan 20, 2020","314.00","321.00","321.45","313.40","30.68M","-1.26%"
"Jan 17, 2020","318.00","313.00","323.50","310.10","58.40M","-1.64%"
"Jan 16, 2020","323.30","324.00","326.90","322.35","26.65M","-0.29%"
"Jan 15, 2020","324.25","329.00","329.20","322.35","32.63M","-1.14%"
"Jan 14, 2020","328.00","329.80","331.70","326.50","26.30M","-0.83%"
"Jan 13, 2020","330.75","334.00","335.45","329.05","23.62M","-0.45%"
"Jan 10, 2020","332.25","331.00","337.95","328.10","42.38M","0.62%"
"Jan 09, 2020","330.20","326.90","331.40","325.00","40.35M","3.25%"
"Jan 08, 2020","319.80","312.10","321.50","311.00","44.53M","0.44%"
"Jan 07, 2020","318.40","324.45","327.00","315.40","50.97M","-0.19%"
"Jan 06, 2020","319.00","331.70","331.70","317.70","35.65M","-4.41%"
"Jan 03, 2020","333.70","337.95","337.95","332.00","21.85M","-1.65%"
"Jan 02, 2020","339.30","334.50","339.85","333.35","20.32M","1.45%"
"Jan 01, 2020","334.45","334.70","335.95","332.15","17.38M","0.21%"
"Dec 31, 2019","333.75","334.40","336.35","332.55","23.80M","-0.19%"
"Dec 30, 2019","334.40","337.75","337.85","332.50","22.78M","-0.85%"
"Dec 27, 2019","337.25","333.40","338.35","333.00","33.48M","2.24%"
"Dec 26, 2019","329.85","333.00","333.45","328.10","24.62M","-0.48%"
"Dec 24, 2019","331.45","333.20","334.20","329.20","21.75M","-0.29%"
"Dec 23, 2019","332.40","335.70","338.85","330.35","30.15M","-1.61%"
"Dec 20, 2019","337.85","330.35","339.50","330.35","51.84M","2.96%"
"Dec 19, 2019","328.15","327.35","329.60","324.50","27.52M","0.37%"
"Dec 18, 2019","326.95","335.00","335.55","325.80","26.45M","-1.79%"
"Dec 17, 2019","332.90","333.25","335.75","330.65","26.73M","0.32%"
"Dec 16, 2019","331.85","335.95","337.25","330.80","35.03M","-0.21%"
"Dec 13, 2019","332.55","325.20","333.45","325.00","40.96M","3.32%"
"Dec 12, 2019","321.85","314.00","322.95","313.55","37.80M","2.89%"
"Dec 11, 2019","312.80","311.20","315.75","308.00","52.56M","-0.19%"
"Dec 10, 2019","313.40","317.20","322.65","312.25","52.16M","-1.04%"
"Dec 09, 2019","316.70","318.95","327.65","314.75","52.44M","-1.03%"
"Dec 06, 2019","320.00","336.70","337.65","318.00","47.03M","-4.82%"
"Dec 05, 2019","336.20","343.00","344.60","335.15","30.43M","-1.65%"
"Dec 04, 2019","341.85","334.10","342.95","331.85","26.79M","1.67%"
"Dec 03, 2019","336.25","341.00","342.95","333.35","26.48M","-0.66%"
"Dec 02, 2019","338.50","343.90","344.35","336.20","20.65M","-0.98%"
"Nov 29, 2019","341.85","348.85","348.85","340.60","23.08M","-2.13%"
"Nov 28, 2019","349.30","346.85","351.00","344.50","42.54M","1.67%"
"Nov 27, 2019","343.55","335.95","345.55","334.05","33.97M","2.40%"
"Nov 26, 2019","335.50","338.00","340.00","332.60","36.46M","-0.18%"
"Nov 25, 2019","336.10","329.00","337.50","328.35","27.56M","2.06%"
"Nov 22, 2019","329.30","331.45","333.80","328.25","28.98M","-0.62%"
"Nov 21, 2019","331.35","329.25","332.85","326.55","34.12M","0.78%"
"Nov 20, 2019","328.80","332.00","332.50","325.10","29.97M","-0.48%"
"Nov 19, 2019","330.40","325.80","331.80","322.10","41.37M","1.63%"
"Nov 18, 2019","325.10","324.00","329.85","323.75","39.01M","0.99%"
"Nov 15, 2019","321.90","312.00","323.70","310.05","95.20M","5.20%"
"Nov 14, 2019","306.00","306.95","309.50","299.70","43.62M","-0.26%"
"Nov 13, 2019","306.80","316.05","318.60","305.65","32.68M","-3.60%"
"Nov 11, 2019","318.25","314.70","319.65","313.10","20.49M","0.71%"
"Nov 08, 2019","316.00","316.20","321.00","314.50","25.42M","-0.68%"
"Nov 07, 2019","318.15","318.25","323.30","316.80","33.93M","0.19%"
"Nov 06, 2019","317.55","318.95","318.95","314.00","32.16M","-0.52%"
"Nov 05, 2019","319.20","313.90","322.00","312.80","50.08M","1.56%"
"Nov 04, 2019","314.30","316.00","319.00","312.35","31.54M","0.24%"
"Nov 01, 2019","313.55","312.40","315.00","308.60","44.89M","0.37%"
"Oct 31, 2019","312.40","293.35","317.80","292.75","128.45M","7.76%"
"Oct 30, 2019","289.90","283.00","291.00","279.25","51.47M","3.30%"
"Oct 29, 2019","280.65","283.15","285.00","278.55","51.03M","-0.41%"
"Oct 27, 2019","281.80","281.80","281.80","281.80","-","0.09%"
"Oct 25, 2019","281.55","265.80","284.15","263.55","105.52M","7.26%"
"Oct 24, 2019","262.50","276.00","277.65","248.65","63.94M","-4.70%"
"Oct 23, 2019","275.45","270.75","277.80","268.65","31.79M","1.83%"
"Oct 22, 2019","270.50","270.40","275.00","268.50","27.57M","0.32%"
"Oct 18, 2019","269.65","264.40","271.35","263.20","33.20M","1.58%"
"Oct 17, 2019","265.45","256.40","266.00","255.60","37.06M","3.67%"
"Oct 16, 2019","256.05","259.30","261.95","255.00","30.89M","-0.93%"
"Oct 15, 2019","258.45","256.45","259.90","254.80","23.45M","1.17%"
"Oct 14, 2019","255.45","256.95","259.40","254.00","28.27M","0.35%"
"Oct 11, 2019","254.55","256.20","261.40","251.50","43.27M","0.16%"
"Oct 10, 2019","254.15","258.00","258.00","252.60","37.58M","-2.61%"
"Oct 09, 2019","260.95","250.10","262.00","244.35","60.33M","4.76%"
"Oct 07, 2019","249.10","251.50","253.40","246.85","39.16M","-0.34%"
"Oct 04, 2019","249.95","258.50","260.50","248.55","60.03M","-1.65%"
"Oct 03, 2019","254.15","254.00","260.70","250.10","56.21M","-0.70%"
"Oct 01, 2019","255.95","272.75","275.50","245.55","79.35M","-5.48%"
"Sep 30, 2019","270.80","281.40","281.85","270.15","41.09M","-3.70%"
"Sep 27, 2019","281.20","282.70","286.05","280.00","37.85M","-0.23%"
"Sep 26, 2019","281.85","281.50","289.90","277.00","79.01M","0.57%"
"Sep 25, 2019","280.25","297.00","297.50","278.70","73.06M","-7.39%"
"Sep 24, 2019","302.60","313.15","315.15","300.80","40.10M","-3.55%"
"Sep 23, 2019","313.75","307.55","316.00","300.40","54.18M","3.99%"
"Sep 20, 2019","301.70","274.50","307.65","268.40","84.48M","10.09%"
"Sep 19, 2019","274.05","279.95","279.95","273.05","23.39M","-2.26%"
"Sep 18, 2019","280.40","277.20","282.95","274.40","25.48M","2.35%"
"Sep 17, 2019","273.95","285.00","286.45","273.00","21.53M","-3.78%"
"Sep 16, 2019","284.70","288.20","290.45","283.80","18.27M","-2.40%"
"Sep 13, 2019","291.70","285.00","292.50","282.00","27.30M","1.62%"
"Sep 12, 2019","287.05","286.75","288.80","284.15","21.96M","0.63%"
"Sep 11, 2019","285.25","278.50","285.85","278.50","21.00M","2.61%"
"Sep 09, 2019","278.00","273.95","278.70","271.00","18.62M","1.48%"
"Sep 06, 2019","273.95","275.05","277.00","272.10","16.68M","0.24%"
"Sep 05, 2019","273.30","275.00","276.35","271.05","25.09M","-0.65%"
"Sep 04, 2019","275.10","269.70","275.85","267.25","27.31M","2.50%"
"Sep 03, 2019","268.40","272.00","272.00","266.95","21.24M","-1.99%"
"Aug 30, 2019","273.85","275.95","277.95","266.85","45.70M","-0.24%"
"Aug 29, 2019","274.50","283.20","284.30","273.30","27.08M","-3.65%"
"Aug 28, 2019","284.90","286.65","286.65","282.20","18.98M","-0.28%"
"Aug 27, 2019","285.70","284.00","288.00","282.60","45.16M","1.96%"
"Aug 26, 2019","280.20","288.00","288.00","270.00","64.07M","3.36%"
"Aug 23, 2019","271.10","267.10","275.25","262.70","35.21M","0.95%"
"Aug 22, 2019","268.55","278.30","278.30","267.30","27.73M","-3.19%"
"Aug 21, 2019","277.40","285.50","285.60","276.30","28.23M","-2.22%"
"Aug 20, 2019","283.70","287.30","287.40","280.65","23.20M","-1.10%"
"Aug 19, 2019","286.85","292.00","292.40","286.00","19.83M","-1.39%"
"Aug 16, 2019","290.90","287.95","292.80","284.30","20.05M","0.40%"
"Aug 14, 2019","289.75","285.05","291.25","284.50","18.52M","2.26%"
"Aug 13, 2019","283.35","290.90","291.55","282.50","24.23M","-2.75%"
"Aug 09, 2019","291.35","296.30","298.00","290.05","23.38M","-1.02%"
"Aug 08, 2019","294.35","290.00","295.50","285.60","32.93M","1.54%"
"Aug 07, 2019","289.90","302.40","302.45","288.80","30.82M","-3.82%"
"Aug 06, 2019","301.40","298.80","304.25","297.25","30.44M","0.38%"
"Aug 05, 2019","300.25","298.45","302.85","291.70","48.82M","-2.66%"
"Aug 02, 2019","308.45","315.55","322.25","307.05","64.47M","-2.74%"
"Aug 01, 2019","317.15","330.80","331.50","311.35","40.85M","-4.53%"
"Jul 31, 2019","332.20","325.10","333.20","323.90","22.74M","1.42%"
"Jul 30, 2019","327.55","344.40","346.70","325.85","24.44M","-4.73%"
"Jul 29, 2019","343.80","343.95","346.55","336.80","17.06M","0.35%"
"Jul 26, 2019","342.60","340.80","346.15","340.50","16.14M","0.38%"
"Jul 25, 2019","341.30","341.70","343.20","337.40","19.86M","0.50%"
"Jul 24, 2019","339.60","341.85","344.70","336.25","20.82M","-0.76%"
"Jul 23, 2019","342.20","351.20","353.00","341.00","27.96M","-2.47%"
"Jul 22, 2019","350.85","356.00","359.55","348.70","19.68M","-1.45%"
"Jul 19, 2019","356.00","365.10","366.05","355.15","22.21M","-2.10%"
"Jul 18, 2019","363.65","371.95","373.80","362.55","21.69M","-2.35%"
"Jul 17, 2019","372.40","364.05","373.55","363.05","17.55M","2.21%"
"Jul 16, 2019","364.35","358.50","366.00","357.65","16.25M","1.19%"
"Jul 15, 2019","360.05","364.10","365.00","357.60","15.67M","-0.98%"
"Jul 12, 2019","363.60","363.00","366.55","361.50","14.66M","0.11%"
"Jul 11, 2019","363.20","358.50","364.00","357.00","20.05M","2.54%"
"Jul 10, 2019","354.20","360.55","361.50","351.30","18.68M","-1.47%"
"Jul 09, 2019","359.50","353.50","360.00","352.50","16.58M","1.18%"
"Jul 08, 2019","355.30","368.00","368.45","353.50","27.25M","-4.14%"
"Jul 05, 2019","370.65","369.45","373.60","366.00","30.02M","0.88%"
"Jul 04, 2019","367.40","367.25","370.90","366.20","19.25M","0.34%"
"Jul 03, 2019","366.15","365.25","366.70","363.00","12.63M","0.45%"
"Jul 02, 2019","364.50","362.15","365.00","360.35","14.48M","0.82%"
"Jul 01, 2019","361.55","362.80","363.00","358.50","12.35M","0.08%"
"Jun 28, 2019","361.25","362.20","365.00","358.70","22.71M","-0.25%"
"Jun 27, 2019","362.15","358.10","363.00","357.25","29.66M","1.12%"
"Jun 26, 2019","358.15","355.75","359.00","354.30","15.84M","0.45%"
"Jun 25, 2019","356.55","352.70","357.00","351.25","15.92M","0.95%"
"Jun 24, 2019","353.20","350.00","354.75","349.65","17.92M","1.09%"
"Jun 21, 2019","349.40","344.80","350.70","343.15","24.75M","1.23%"
"Jun 20, 2019","345.15","341.00","346.25","335.60","20.63M","1.86%"
"Jun 19, 2019","338.85","343.10","345.20","335.50","16.42M","-0.35%"
"Jun 18, 2019","340.05","335.50","344.00","333.80","21.96M","0.65%"
"Jun 17, 2019","337.85","343.75","343.75","336.95","13.78M","-1.73%"
"Jun 14, 2019","343.80","345.50","346.35","342.55","10.35M","-0.78%"
"Jun 13, 2019","346.50","343.00","347.45","339.80","15.51M","0.73%"
"Jun 12, 2019","344.00","346.95","346.95","342.30","11.57M","-0.89%"
"Jun 11, 2019","347.10","345.05","348.30","342.85","16.28M","0.81%"
"Jun 10, 2019","344.30","346.00","347.30","340.15","20.50M","0.66%"
"Jun 07, 2019","342.05","337.00","342.75","336.00","29.74M","1.53%"
"Jun 06, 2019","336.90","349.00","349.60","335.90","41.94M","-4.40%"
"Jun 04, 2019","352.40","354.00","357.20","351.40","18.13M","-0.86%"
"Jun 03, 2019","355.45","352.35","356.45","349.65","18.38M","0.84%"
"May 31, 2019","352.50","354.35","357.90","344.65","32.59M","-0.30%"
"May 30, 2019","353.55","349.75","355.00","347.50","25.71M","1.41%"
"May 29, 2019","348.65","358.00","359.00","347.15","28.37M","-3.17%"
"May 28, 2019","360.05","360.95","361.70","356.65","23.50M","-0.46%"
"May 27, 2019","361.70","355.05","362.50","354.00","31.38M","1.79%"
"May 24, 2019","355.35","344.95","357.00","343.50","35.70M","3.84%"
"May 23, 2019","342.20","353.00","364.00","339.20","74.41M","0.32%"
"May 22, 2019","341.10","338.90","342.60","333.55","32.00M","1.05%"
"May 21, 2019","337.55","345.90","347.55","336.25","33.46M","-2.07%"
"May 20, 2019","344.70","332.00","345.80","331.00","53.21M","7.97%"
"May 17, 2019","319.25","315.65","321.95","313.45","25.84M","1.11%"
"May 16, 2019","315.75","312.50","317.10","309.55","18.15M","1.17%"
"May 15, 2019","312.10","316.20","317.90","311.00","27.93M","-0.81%"
"May 14, 2019","314.65","307.85","316.75","305.10","30.52M","2.53%"
"May 13, 2019","306.90","310.00","314.20","305.30","40.10M","-0.37%"
"May 10, 2019","308.05","301.80","310.75","292.45","60.74M","2.92%"
"May 09, 2019","299.30","297.60","301.00","296.10","12.65M","0.35%"
"May 08, 2019","298.25","303.95","305.30","296.75","22.10M","-2.36%"
"May 07, 2019","305.45","310.70","313.40","303.75","15.22M","-1.07%"
"May 06, 2019","308.75","306.80","310.30","305.90","10.64M","-0.40%"
"May 03, 2019","310.00","309.00","311.80","308.80","12.45M","0.60%"
"May 02, 2019","308.15","308.05","311.40","305.65","16.64M","-0.58%"
"Apr 30, 2019","309.95","312.00","312.00","305.00","18.18M","-0.82%"
"Apr 26, 2019","312.50","306.90","313.50","306.60","14.99M","2.06%"
"Apr 25, 2019","306.20","311.00","312.00","305.40","30.84M","-1.46%"
"Apr 24, 2019","310.75","305.85","311.95","303.60","15.23M","1.80%"
"Apr 23, 2019","305.25","310.05","313.75","304.60","17.32M","-1.55%"
"Apr 22, 2019","310.05","308.80","312.30","306.35","15.67M","-0.24%"
"Apr 18, 2019","310.80","315.80","315.80","308.05","15.69M","-1.57%"
"Apr 16, 2019","315.75","316.60","319.40","314.70","14.94M","0.05%"
"Apr 15, 2019","315.60","315.50","318.70","313.75","13.86M","0.11%"
"Apr 12, 2019","315.25","314.60","316.40","311.20","14.75M","0.11%"
"Apr 11, 2019","314.90","311.00","315.40","308.70","14.90M","1.29%"
"Apr 10, 2019","310.90","314.85","317.05","310.00","19.24M","-1.22%"
"Apr 09, 2019","314.75","313.95","315.70","308.10","25.56M","0.62%"
"Apr 08, 2019","312.80","318.25","319.25","311.10","17.39M","-1.34%"
"Apr 05, 2019","317.05","323.70","323.70","315.00","23.12M","-1.48%"
"Apr 04, 2019","321.80","321.50","325.75","318.30","27.83M","0.41%"
"Apr 03, 2019","320.50","331.00","332.45","319.50","30.55M","-2.58%"
"Apr 02, 2019","329.00","323.65","331.00","322.10","27.90M","1.94%"
"Apr 01, 2019","322.75","321.80","327.65","321.05","22.37M","0.62%"
"Mar 29, 2019","320.75","321.10","323.00","316.25","30.39M","0.55%"
"Mar 28, 2019","319.00","310.10","339.65","309.05","63.24M","3.30%"
"Mar 27, 2019","308.80","305.25","310.85","304.35","35.96M","1.75%"
"Mar 26, 2019","303.50","294.75","305.00","294.75","18.30M","3.23%"
"Mar 25, 2019","294.00","294.00","295.45","292.20","16.90M","-1.36%"
"Mar 22, 2019","298.05","304.30","306.40","296.95","17.87M","-1.89%"
"Mar 20, 2019","303.80","302.80","304.65","300.05","18.82M","0.25%"
"Mar 19, 2019","303.05","300.15","306.60","299.15","27.22M","1.37%"
"Mar 18, 2019","298.95","298.90","300.90","294.65","23.78M","0.18%"
"Mar 15, 2019","298.40","292.60","301.30","292.50","37.93M","2.23%"
"Mar 14, 2019","291.90","294.50","294.70","290.75","16.16M","-0.43%"
"Mar 13, 2019","293.15","288.10","294.40","284.70","23.73M","2.18%"
"Mar 12, 2019","286.90","289.20","289.90","285.75","20.83M","-0.16%"
"Mar 11, 2019","287.35","285.30","289.00","283.50","22.93M","2.19%"
"Mar 08, 2019","281.20","281.85","284.25","279.60","19.94M","-0.20%"
"Mar 07, 2019","281.75","279.45","282.50","277.65","14.90M","1.31%"
"Mar 06, 2019","278.10","277.30","282.55","276.45","22.16M","0.60%"
"Mar 05, 2019","276.45","271.70","277.85","271.20","21.53M","1.28%"
"Mar 01, 2019","272.95","270.55","274.60","270.10","20.02M","1.45%"
"Feb 28, 2019","269.05","267.70","270.80","267.65","31.64M","0.52%"
"Feb 27, 2019","267.65","268.00","272.70","266.55","20.57M","0.49%"
"Feb 26, 2019","266.35","266.80","268.20","263.25","15.27M","-1.41%"
"Feb 25, 2019","270.15","271.30","271.40","267.90","20.79M","-0.30%"
"Feb 22, 2019","270.95","267.90","271.90","267.60","12.54M","1.10%"
"Feb 21, 2019","268.00","270.30","271.00","267.30","13.76M","0.11%"
"Feb 20, 2019","267.70","264.50","268.30","264.30","15.51M","1.83%"
"Feb 19, 2019","262.90","260.90","267.50","260.30","19.06M","1.13%"
"Feb 18, 2019","259.95","264.40","265.50","258.80","14.78M","-1.14%"
"Feb 15, 2019","262.95","268.85","268.85","261.30","23.37M","-1.55%"
"Feb 14, 2019","267.10","268.00","268.35","263.65","26.37M","-0.41%"
"Feb 13, 2019","268.20","276.50","276.70","266.70","18.66M","-2.61%"
"Feb 12, 2019","275.40","280.65","282.20","274.65","15.33M","-1.82%"
"Feb 11, 2019","280.50","285.95","285.95","280.00","15.42M","-1.92%"
"Feb 08, 2019","286.00","285.60","288.00","282.20","19.78M","-0.49%"
"Feb 07, 2019","287.40","289.40","294.00","286.60","19.73M","-0.57%"
"Feb 06, 2019","289.05","285.85","289.75","283.50","12.15M","1.55%"
"Feb 05, 2019","284.65","284.20","287.00","283.00","13.29M","0.25%"
"Feb 04, 2019","283.95","282.40","285.20","277.85","20.64M","-0.16%"
"Feb 01, 2019","284.40","296.90","302.70","282.00","60.02M","-3.15%"
"Jan 31, 2019","293.65","290.00","294.80","288.00","25.55M","2.16%"
"Jan 30, 2019","287.45","281.20","289.40","280.25","18.91M","2.44%"
"Jan 29, 2019","280.60","281.00","286.00","276.55","17.44M","-0.36%"
"Jan 28, 2019","281.60","285.65","286.60","277.30","18.91M","-1.33%"
"Jan 25, 2019","285.40","289.60","291.00","283.20","11.12M","-0.92%"
"Jan 24, 2019","288.05","286.65","289.90","285.50","11.53M","0.49%"
"Jan 23, 2019","286.65","290.45","292.95","285.50","10.30M","-1.24%"
"Jan 22, 2019","290.25","293.00","293.00","288.20","11.30M","-0.75%"
